"","Subject_ID","Age","Gender","Session","Trial","Advisor","stm_Coh","stm_Dir","Decicion_1","Confidence_1","RT_1","Accuracy_1","Score_1","Score_2","Decision_2","Confidence_2","RT_2","Accuracy_2","avd_Decision","adv_Confidence","adv_Accuracy","Benefit","abs_conf_1","Calibration","mean_Susceptibility"
"46",1,20,1,1,46,2,0.123,1,1,0.6,809,1,68,68,1,0.6,2119,1,1,0.9,1,0,0.6,1.57098216697147,-0.246283712012957
"47",1,20,1,1,47,2,0.123,1,1,0.6,1718,1,68,68,1,0.6,3468,1,1,0.9,1,0,0.6,1.57098216697147,-0.246283712012957
"48",1,20,1,1,48,2,0.123,1,0,-0.8,1741,0,-28,-28,0,-0.8,4357,0,1,1,1,0,0.8,1.57098216697147,-0.246283712012957
"49",1,20,1,1,49,2,0.123,1,0,-0.6,923,0,28,28,0,-0.6,3523,0,1,0.6,1,0,0.6,1.57098216697147,-0.246283712012957
"50",1,20,1,1,50,2,0.123,0,1,0.9,2241,0,-62,-62,1,0.9,5472,0,0,-0.6,1,0,0.9,1.57098216697147,-0.246283712012957
"51",1,20,1,1,51,2,0.123,1,0,-0.7,963,0,2,28,0,-0.6,3403,0,1,0.8,1,26,0.7,1.57098216697147,-0.246283712012957
"52",1,20,1,1,52,2,0.123,1,0,-0.6,891,0,28,28,0,-0.6,3311,0,0,-0.6,0,0,0.6,1.57098216697147,-0.246283712012957
"53",1,20,1,1,53,2,0.123,1,1,0.7,1820,1,82,82,1,0.7,3260,1,1,1,1,0,0.7,1.57098216697147,-0.246283712012957
"54",1,20,1,1,54,2,0.123,1,0,-0.7,990,0,2,2,0,-0.7,2445,0,1,0.6,1,0,0.7,1.57098216697147,-0.246283712012957
"55",1,20,1,1,55,2,0.123,0,0,-0.6,1217,1,68,68,0,-0.6,3168,1,0,-1,1,0,0.6,1.57098216697147,-0.246283712012957
"56",1,20,1,1,56,2,0.123,0,1,0.7,870,0,2,-28,1,0.8,2990,0,1,1,0,-30,0.7,1.57098216697147,-0.246283712012957
"57",1,20,1,1,57,2,0.123,0,1,0.7,1917,0,2,2,1,0.7,3537,0,0,-0.6,1,0,0.7,1.57098216697147,-0.246283712012957
"58",1,20,1,1,58,2,0.123,1,0,-0.8,1318,0,-28,-28,0,-0.8,3358,0,0,-0.8,0,0,0.8,1.57098216697147,-0.246283712012957
"59",1,20,1,1,59,2,0.123,0,1,0.6,1085,0,28,28,1,0.6,4410,0,1,0.6,0,0,0.6,1.57098216697147,-0.246283712012957
"60",1,20,1,1,60,2,0.123,0,0,-0.6,922,1,68,28,1,0.6,4492,0,1,0.9,0,-40,0.6,1.57098216697147,-0.246283712012957
"61",1,20,1,1,61,2,0.123,1,0,-0.6,10460,0,28,28,0,-0.6,12970,0,0,-0.7,0,0,0.6,1.57098216697147,-0.246283712012957
"62",1,20,1,1,62,2,0.123,1,0,-0.6,917,0,28,68,1,0.6,3792,1,1,0.8,1,40,0.6,1.57098216697147,-0.246283712012957
"63",1,20,1,1,63,2,0.123,0,1,0.7,1502,0,2,28,1,0.6,3827,0,0,-0.8,1,26,0.7,1.57098216697147,-0.246283712012957
"64",1,20,1,1,64,2,0.123,1,1,0.7,1203,1,82,28,0,-0.6,3828,0,0,-0.8,0,-54,0.7,1.57098216697147,-0.246283712012957
"65",1,20,1,1,65,2,0.123,1,1,0.7,1322,1,82,82,1,0.7,3412,1,1,1,1,0,0.7,1.57098216697147,-0.246283712012957
"66",1,20,1,1,66,2,0.123,0,1,0.7,2459,0,2,28,1,0.6,4219,0,0,-0.7,1,26,0.7,1.57098216697147,-0.246283712012957
"67",1,20,1,1,67,2,0.123,1,0,-0.6,1518,0,28,82,1,0.7,4194,1,1,0.9,1,54,0.6,1.57098216697147,-0.246283712012957
"68",1,20,1,1,68,2,0.123,1,1,0.8,1262,1,92,68,1,0.6,3552,1,0,-0.6,0,-24,0.8,1.57098216697147,-0.246283712012957
"69",1,20,1,1,69,2,0.123,0,1,0.8,1326,0,-28,2,1,0.7,3666,0,0,-0.9,1,30,0.8,1.57098216697147,-0.246283712012957
"70",1,20,1,1,70,2,0.123,0,1,0.7,1142,0,2,2,1,0.7,3272,0,0,-0.6,1,0,0.7,1.57098216697147,-0.246283712012957
"71",1,20,1,1,71,2,0.123,0,0,-0.6,993,1,68,68,0,-0.6,2843,1,0,-0.6,1,0,0.6,1.57098216697147,-0.246283712012957
